timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], socd[59], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86],101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),110 (C),111 (C),112 (C),117 (C),119 (C),avg,min,max
11:55:57.251878,  8.800, 9.500, 9.500, 9.200, 9.900, 9.900, 9.200, 8.800, 9.200, 9.200, 8.800, 9.200, 9.200, 8.800, 8.500, 8.500, 8.500, 8.500, 9.500, 9.500, 9.200, 8.800, 7.800, 8.500, 7.800, 8.800, 7.800, 8.200, 7.800, 8.200, 7.800, 8.200, 2.347, 37.000, 4.145, 0.156, 0.156, 0.023, 1.582, 37.000, 37.000, 3.626, 2.469, 3.104, 3.053, 3.117, 2.851, 0.472, 3.389, 0.577, 4.480, 4.337, 27.000, 27.000, 3.380, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.877105,-1.828912,-1.864432,-1.801488,-1.943608,-1.810584,-1.572,-1.619071,-2.950236,-1.579472,-1.775547,-1.68668,-1.609331,-1.840000, -2.950000, -1.572000
11:56:02.368320,  9.200, 10.600, 10.600, 10.200, 11.200, 11.200, 11.600, 9.200, 9.200, 9.900, 9.200, 10.200, 9.900, 9.500, 8.500, 9.500, 9.200, 9.900, 10.600, 10.600, 9.500, 9.500, 8.500, 8.800, 8.800, 9.200, 8.500, 8.200, 8.500, 8.800, 7.800, 8.500, 2.880, 37.000, 4.678, 0.234, 0.156, 0.023, 1.782, 37.000, 37.000, 4.129, 2.418, 3.371, 3.078, 3.212, 2.771, 0.439, 3.433, 0.558, 4.422, 4.364, 27.000, 27.000, 3.650, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.576615,-1.478098,-1.544016,-1.475449,-1.597,-1.6323,-1.406,-1.464536,-2.833044,-1.271952,-1.514388,-1.44589,-1.342214,-1.583000, -2.833000, -1.272000
11:56:07.280825,  9.200, 10.200, 10.600, 9.900, 11.200, 11.600, 12.600, 9.500, 9.500, 9.200, 9.200, 10.200, 10.200, 9.900, 9.200, 9.500, 9.500, 9.900, 10.600, 10.200, 9.500, 9.500, 8.500, 9.200, 8.800, 9.500, 8.500, 8.800, 8.500, 8.500, 8.200, 8.500, 3.213, 37.000, 4.778, 0.078, 0.078, 0.023, 1.982, 37.000, 37.000, 4.366, 2.386, 3.589, 3.168, 3.320, 2.703, 0.405, 3.539, 0.558, 4.438, 4.364, 27.000, 27.000, 3.857, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.3607,-1.216474,-1.2732,-1.273285,-1.359952,-1.299636,-1.086,-1.163442,-2.661368,-1.109264,-1.393242,-1.23296,-1.134677,-1.351000, -2.661000, -1.086000
11:56:12.182701,  9.200, 10.900, 10.900, 10.600, 11.900, 11.600, 11.900, 9.500, 9.500, 9.500, 9.200, 9.900, 9.900, 9.500, 8.800, 9.500, 9.500, 9.500, 10.600, 10.200, 9.500, 9.500, 8.800, 9.200, 8.800, 9.200, 8.500, 8.800, 8.500, 8.800, 8.200, 8.800, 3.280, 37.000, 4.911, 0.234, 0.390, 0.023, 2.148, 37.000, 37.000, 4.526, 2.380, 3.748, 3.251, 3.421, 2.640, 0.405, 3.626, 0.558, 4.517, 4.454, 27.000, 27.000, 3.857, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.78457,-2.07468,-1.96264,-2.015544,-2.037232,-2.192052,-1.737,-1.817474,-2.617164,-1.803664,-1.898679,-1.978215,-2.239886,-2.012000, -2.617000, -1.737000
11:56:17.361823,  9.200, 10.900, 11.200, 10.600, 11.600, 11.600, 12.600, 9.500, 9.500, 9.900, 9.200, 9.900, 10.200, 9.900, 9.200, 9.900, 9.500, 10.600, 10.900, 10.900, 9.900, 9.900, 8.800, 9.500, 8.800, 9.500, 9.200, 9.200, 8.800, 9.200, 8.500, 9.200, 3.346, 37.000, 5.110, 0.312, 0.468, 0.023, 2.181, 37.000, 37.000, 4.647, 2.399, 3.870, 3.333, 3.508, 2.590, 0.379, 3.693, 0.505, 4.669, 4.606, 27.000, 27.000, 4.116, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.879095,-1.859633,-1.891216,-1.894642,-2.00536,-2.012772,-1.756,-1.894243,-2.837156,-1.762,-1.94535,-1.94538,-1.799987,-1.960000, -2.837000, -1.756000
11:56:22.249358,  9.500, 10.200, 10.900, 9.900, 10.600, 10.200, 9.900, 9.500, 9.900, 9.900, 9.500, 9.900, 9.900, 9.500, 9.200, 9.900, 9.500, 10.200, 10.600, 10.200, 9.900, 9.900, 8.800, 9.200, 9.200, 9.500, 8.500, 9.200, 8.500, 8.800, 8.200, 8.800, 3.380, 37.000, 5.144, 0.078, 0.078, 0.023, 2.315, 37.000, 37.000, 4.719, 2.399, 3.960, 3.389, 3.564, 2.526, 0.372, 3.767, 0.485, 4.669, 4.606, 27.000, 27.000, 4.116, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.684075,-1.598009,-1.599568,-1.628063,-1.674688,-1.749828,-1.519,-1.623059,-2.822764,-1.465392,-1.653408,-1.572255,-1.515989,-1.700000, -2.823000, -1.465000
11:56:27.232325,  9.500, 10.600, 10.600, 9.900, 10.600, 10.600, 10.200, 9.500, 9.900, 10.200, 9.500, 9.500, 10.200, 9.500, 9.200, 9.900, 9.500, 10.200, 11.200, 10.600, 9.900, 9.900, 8.800, 9.200, 9.200, 9.500, 9.200, 8.800, 8.800, 9.200, 8.500, 8.800, 3.479, 37.000, 5.244, 0.156, 0.156, 0.023, 2.381, 37.000, 37.000, 4.773, 2.406, 4.020, 3.439, 3.620, 2.488, 0.345, 3.797, 0.458, 4.720, 4.663, 27.000, 27.000, 4.198, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.345775,-1.36116,-1.389264,-1.34761,-1.474492,-1.455012,-1.239,-1.311995,-2.689124,-1.192592,-1.375368,-1.285695,-1.187306,-1.435000, -2.689000, -1.187000
11:56:32.338884,  9.900, 11.200, 11.200, 10.900, 11.600, 12.600, 12.600, 9.900, 9.500, 9.900, 9.500, 10.200, 10.600, 9.900, 8.800, 9.900, 9.500, 9.900, 11.200, 10.600, 9.900, 9.900, 8.800, 9.500, 9.200, 9.900, 9.200, 8.800, 8.800, 8.800, 8.500, 8.800, 3.446, 37.000, 5.210, 0.625, 0.625, 0.023, 2.447, 37.000, 37.000, 4.821, 2.425, 4.062, 3.477, 3.650, 2.406, 0.318, 3.852, 0.472, 4.798, 4.741, 27.000, 27.000, 4.294, 4.085, 2.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.2612,-1.215483,-1.113488,-1.154365,-1.219516,-1.341468,-1.128,-1.159454,-2.534924,-0.952528,-1.243299,-1.114555,-1.041335,-1.268000, -2.535000, -0.953000
11:56:37.342705,  9.500, 10.900, 10.900, 10.900, 11.600, 11.600, 13.000, 9.900, 9.900, 10.200, 9.500, 10.200, 10.200, 9.900, 9.200, 9.500, 9.900, 10.200, 10.900, 10.900, 10.200, 9.900, 8.800, 9.500, 9.500, 9.900, 8.800, 9.200, 8.800, 9.500, 8.500, 8.800, 3.513, 37.000, 5.310, 0.625, 0.625, 0.023, 2.447, 37.000, 37.000, 4.863, 2.425, 4.104, 3.502, 3.675, 2.374, 0.298, 3.876, 0.458, 4.798, 4.762, 27.000, 27.000, 4.321, 4.085, 1.000,  0.000, 0.000, 0.000, 0.000, 0.000,-1.8383,-2.03504,-1.941808,-1.99176,-1.97548,-2.237868,-1.906,-1.911192,-2.532868,-1.808624,-1.953294,-2.059805,-2.26769,-2.035000, -2.533000, -1.809000
11:56:42.262618,  9.500, 10.900, 10.600, 10.900, 10.900, 10.900, 11.200, 9.900, 9.500, 10.200, 9.900, 9.900, 10.600, 9.900, 9.200, 9.900, 9.500, 10.200, 11.200, 10.600, 10.600, 9.500, 8.800, 9.500, 8.800, 9.900, 9.200, 8.500, 8.500, 9.200, 8.500, 8.800, 3.613, 37.000, 5.310, 0.312, 0.156, 0.023, 2.481, 37.000, 37.000, 4.887, 2.431, 4.142, 3.527, 3.706, 2.341, 0.291, 3.894, 0.412, 4.828, 4.762, 27.000, 27.000, 4.321, 4.085, 1.000,  0.000, 0.000, 0.000, 0.000, 0.000,-2.024365,-1.978553,-1.85352,-1.908516,-2.03524,-2.14026,-1.862,-1.957054,-2.77856,-1.808624,-1.890735,-1.926475,-1.81091,-1.998000, -2.779000, -1.809000
