timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], usb[87], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
11:17:52.088678,  37.600, 37.600, 37.900, 37.600, 37.900, 37.200, 37.200, 37.200, 38.300, 39.300, 39.600, 36.900, 37.600, 37.200, 37.200, 38.300, 37.900, 37.200, 37.900, 37.900, 38.300, 37.900, 37.600, 38.300, 37.200, 37.600, 37.900, 37.600, 37.200, 37.900, 37.600, 37.600, 34.528, 37.000, 35.430, 0.234, 0.234, 34.059, 37.000, 37.000, 37.742, 36.782, 37.550, 37.297, 37.339, 36.605, 36.058, 37.151, 36.052, 37.021, 36.904, 27.000, 27.000, 36.898, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.033, 0, 0, 100, 4.419, 0.142, 35.0
11:17:57.094048,  37.200, 37.600, 37.900, 37.600, 37.900, 37.600, 37.200, 37.600, 38.300, 39.000, 40.000, 37.200, 37.200, 36.900, 37.600, 37.900, 37.900, 37.600, 37.900, 37.900, 38.600, 38.300, 37.600, 38.300, 37.200, 37.600, 37.600, 37.600, 37.200, 38.300, 37.200, 37.600, 34.594, 37.000, 35.598, 0.156, 0.156, 34.193, 37.000, 37.000, 37.772, 36.788, 37.550, 37.303, 37.351, 36.605, 36.065, 37.157, 36.065, 37.021, 36.911, 27.000, 27.000, 36.898, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.158, 0, 0, 100, 4.418, 0.164, 35.0
11:18:01.961076,  37.600, 37.900, 37.600, 37.900, 37.600, 37.900, 37.200, 37.600, 37.900, 38.600, 38.600, 37.600, 37.900, 37.200, 37.600, 38.300, 37.900, 37.600, 37.900, 37.900, 38.300, 37.900, 37.900, 38.300, 36.900, 37.900, 37.600, 37.900, 37.600, 37.900, 37.200, 37.900, 34.594, 37.000, 35.531, 0.078, 0.078, 34.193, 37.000, 37.000, 37.778, 36.788, 37.574, 37.309, 37.357, 36.605, 36.065, 37.157, 36.070, 37.021, 36.911, 27.000, 27.000, 36.898, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.636, 0, 0, 100, 4.417, 0.158, 35.1
11:18:07.202362,  37.600, 37.200, 37.900, 37.200, 37.900, 37.600, 37.200, 37.200, 37.600, 39.300, 40.000, 37.600, 37.600, 37.200, 37.200, 38.300, 37.600, 37.600, 38.300, 37.900, 38.300, 38.300, 37.600, 37.900, 36.900, 37.600, 37.900, 37.600, 37.600, 37.900, 37.200, 37.200, 34.628, 37.000, 35.531, 0.078, 0.078, 34.227, 37.000, 37.000, 37.796, 36.800, 37.610, 37.309, 37.363, 36.617, 36.070, 37.169, 36.076, 37.021, 36.917, 27.000, 27.000, 37.015, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.252, 0, 0, 100, 4.419, 0.148, 35.1
11:18:12.104571,  37.600, 37.600, 37.900, 37.200, 37.600, 37.600, 37.200, 37.600, 38.300, 39.300, 39.600, 37.200, 37.900, 37.600, 37.600, 38.300, 37.600, 37.600, 37.600, 37.600, 37.900, 38.300, 37.900, 37.900, 36.900, 37.600, 37.600, 37.600, 37.600, 37.900, 37.200, 37.600, 34.528, 37.000, 35.464, 0.078, 0.078, 34.193, 37.000, 37.000, 37.796, 36.794, 37.604, 37.315, 37.363, 36.617, 36.076, 37.169, 36.076, 37.021, 36.917, 27.000, 27.000, 37.015, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.104, 0, 0, 100, 4.418, 0.164, 35.1
11:18:17.098740,  37.200, 37.600, 37.900, 37.200, 37.600, 37.600, 37.200, 37.600, 37.900, 38.600, 39.000, 37.200, 37.600, 37.200, 37.600, 37.900, 37.900, 37.600, 37.900, 37.900, 37.600, 37.900, 37.900, 37.900, 36.900, 37.900, 37.600, 37.900, 37.600, 37.600, 37.600, 37.900, 34.561, 37.000, 35.531, 0.156, 0.156, 34.160, 37.000, 37.000, 37.796, 36.805, 37.598, 37.321, 37.375, 36.623, 36.070, 37.176, 36.076, 37.039, 36.935, 27.000, 27.000, 36.941, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.728, 0, 0, 100, 4.418, 0.157, 35.1
11:18:22.056098,  37.200, 37.900, 37.600, 37.600, 38.300, 37.600, 37.200, 37.200, 37.900, 39.600, 40.000, 37.600, 37.900, 37.600, 37.200, 38.300, 37.900, 37.600, 37.900, 37.900, 38.600, 38.300, 37.900, 37.600, 36.900, 37.900, 37.900, 38.300, 37.600, 37.600, 37.600, 37.600, 34.594, 37.000, 35.598, 0.156, 0.156, 34.126, 37.000, 37.000, 37.783, 36.805, 37.586, 37.327, 37.387, 36.623, 36.070, 37.181, 36.082, 37.039, 36.935, 27.000, 27.000, 36.941, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.14, 0, 0, 100, 4.415, 0.165, 35.1
11:18:27.160868,  37.600, 37.600, 37.900, 37.600, 37.600, 37.600, 37.200, 37.600, 37.900, 39.000, 39.600, 37.200, 37.600, 37.200, 37.200, 38.300, 37.600, 37.600, 38.300, 37.600, 37.900, 37.900, 37.900, 37.900, 37.200, 37.600, 37.900, 37.900, 37.200, 37.600, 37.200, 37.600, 34.628, 37.000, 35.497, 0.156, 0.156, 34.093, 37.000, 37.000, 37.778, 36.811, 37.580, 37.327, 37.382, 36.641, 36.088, 37.188, 36.088, 37.045, 36.935, 27.000, 27.000, 36.935, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.21, 0, 0, 100, 4.418, 0.156, 35.0
11:18:32.070645,  37.600, 37.900, 37.600, 37.600, 37.900, 37.600, 37.200, 37.600, 37.900, 38.600, 39.000, 37.600, 37.600, 37.200, 37.600, 37.900, 37.900, 37.600, 37.900, 38.300, 38.300, 38.300, 37.900, 38.300, 37.600, 37.900, 37.900, 37.900, 37.600, 37.900, 37.200, 37.600, 34.628, 37.000, 35.464, 0.156, 0.156, 34.227, 37.000, 37.000, 37.789, 36.811, 37.586, 37.327, 37.375, 36.641, 36.082, 37.193, 36.082, 37.045, 36.935, 27.000, 27.000, 36.929, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.544, 0, 0, 100, 4.418, 0.169, 35.0
11:18:37.075568,  37.600, 38.600, 38.300, 38.600, 38.600, 37.900, 37.600, 39.000, 40.000, 39.000, 38.600, 37.900, 37.900, 37.600, 37.600, 38.300, 38.300, 38.300, 39.000, 38.300, 38.300, 38.600, 37.900, 38.300, 37.600, 37.900, 37.600, 37.900, 37.600, 37.900, 37.600, 37.600, 34.996, 37.000, 35.665, 0.156, 0.234, 34.862, 37.000, 37.000, 37.922, 36.811, 37.712, 37.327, 37.394, 36.641, 36.070, 37.206, 36.094, 37.045, 36.935, 27.000, 27.000, 36.929, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.95, 0, 0, 100, 4.412, 0.16, 35.0
