timestamp, sdr0[2], sdr1[4], mmw-ific0[5], sdr0-pa[12], sdr1-pa[13], aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], modem-mmw0-usr[78], modem-mmw1-usr[79], assign4-therm[80], vbat[81], usb[87], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
10:39:34.102887,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 27.300, 26.600, 27.000, 26.600, 26.300, 27.000, 27.000, 27.700, 28.000, 26.600, 27.000, 26.600, 26.600, 27.300, 27.000, 26.600, 27.300, 27.300, 27.300, 27.300, 27.300, 27.300, 26.300, 26.600, 27.300, 27.300, 27.000, 26.600, 26.600, 27.000, 23.224, 37.000, 24.428, 0.156, 0.234, 23.023, 37.000, 37.000, 25.714, 24.518, 25.538, 25.099, 25.178, 24.513, 23.913, 24.988, 23.918, 25.122, 25.064, 27.000, 27.000, -273.000, -273.000, 25.192, 4.384, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.208, 0, 0, 100, 4.436, 0.141, 22.8
10:39:39.096900,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 27.000, 27.000, 26.600, 27.000, 26.600, 26.300, 27.000, 27.300, 27.300, 28.000, 26.300, 27.000, 26.300, 27.000, 27.300, 26.600, 27.000, 27.300, 27.000, 27.700, 27.300, 27.000, 27.300, 26.600, 27.000, 26.600, 27.000, 26.600, 27.000, 26.600, 27.000, 23.157, 37.000, 24.294, 0.078, 0.078, 22.789, 37.000, 37.000, 25.648, 24.529, 25.470, 25.120, 25.194, 24.508, 23.918, 25.003, 23.908, 25.163, 25.105, 27.000, 27.000, -273.000, -273.000, 25.011, 4.384, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.933, 0, 0, 100, 4.436, 0.147, 22.8
10:39:44.087308,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 27.000, 26.600, 27.000, 27.000, 26.600, 27.000, 27.000, 27.700, 28.000, 26.600, 27.000, 26.300, 26.600, 27.700, 27.000, 26.600, 27.700, 27.300, 27.300, 27.700, 27.000, 27.300, 26.000, 27.000, 27.000, 27.000, 26.600, 27.000, 26.600, 27.000, 23.090, 37.000, 24.361, 0.078, 0.078, 22.890, 37.000, 37.000, 25.627, 24.544, 25.429, 25.130, 25.199, 24.508, 23.918, 25.019, 23.908, 25.204, 25.105, 27.000, 27.000, -273.000, -273.000, 24.976, 4.434, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.226, 0, 0, 100, 4.436, 0.13, 22.8
10:39:49.095511,  0.000, 0.000, -273.000, 0.000, 0.000, 27.000, 27.000, 27.300, 27.700, 27.300, 27.000, 26.600, 28.700, 30.100, 28.400, 28.700, 26.600, 27.000, 26.300, 26.600, 27.700, 27.000, 27.300, 27.300, 27.700, 27.300, 27.300, 26.600, 27.000, 26.000, 27.000, 27.000, 27.000, 27.000, 27.300, 26.600, 26.600, 23.090, 37.000, 24.328, 0.312, 0.312, 22.923, 37.000, 37.000, 25.654, 24.544, 25.429, 25.130, 25.204, 24.513, 23.918, 25.019, 23.913, 25.204, 25.099, 27.000, 27.000, -273.000, -273.000, 25.017, 4.384, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.158, 0, 0, 100, 4.436, 0.153, 22.9
10:39:54.115723,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 27.000, 27.000, 27.000, 27.000, 26.600, 26.600, 27.000, 27.300, 28.000, 28.400, 26.600, 26.600, 26.600, 27.000, 27.000, 27.000, 27.000, 27.300, 27.300, 27.700, 27.300, 27.000, 27.300, 26.300, 26.600, 27.000, 27.000, 27.000, 27.000, 26.600, 27.000, 23.157, 37.000, 24.394, 0.312, 0.312, 22.789, 37.000, 37.000, 25.638, 24.554, 25.434, 25.136, 25.214, 24.513, 23.918, 25.041, 23.918, 25.227, 25.110, 27.000, 27.000, -273.000, -273.000, 24.972, 4.434, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.053, 0, 0, 100, 4.434, 0.173, 22.9
10:39:59.042953,  0.000, 0.000, -273.000, 0.000, 0.000, 27.000, 27.300, 27.000, 26.600, 27.000, 26.600, 26.600, 27.000, 27.300, 27.700, 28.000, 26.600, 27.000, 26.600, 26.600, 27.000, 27.000, 27.000, 27.000, 27.000, 27.300, 27.300, 27.000, 27.000, 26.000, 26.600, 27.000, 27.000, 27.000, 27.000, 26.600, 26.600, 22.990, 37.000, 24.428, 0.078, 0.156, 22.656, 37.000, 37.000, 25.638, 24.565, 25.450, 25.146, 25.220, 24.503, 23.913, 25.030, 23.918, 25.215, 25.110, 27.000, 27.000, -273.000, -273.000, 24.976, 4.434, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.281, 0, 0, 100, 4.437, 0.137, 22.9
10:40:04.086789,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 27.000, 27.300, 26.600, 27.000, 27.300, 26.300, 27.000, 27.000, 27.700, 27.700, 26.600, 27.000, 26.300, 27.000, 27.300, 27.000, 27.000, 27.700, 27.000, 27.000, 27.700, 27.000, 27.700, 26.600, 26.600, 26.600, 27.300, 27.000, 27.000, 26.600, 27.000, 23.157, 37.000, 24.495, 0.078, 0.156, 22.856, 37.000, 37.000, 25.648, 24.570, 25.444, 25.146, 25.220, 24.503, 23.918, 25.025, 23.913, 25.221, 25.122, 27.000, 27.000, -273.000, -273.000, 25.028, 4.384, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.141, 0, 0, 100, 4.435, 0.148, 22.9
10:40:09.119388,  0.000, 0.000, -273.000, 0.000, 0.000, 27.000, 26.600, 27.000, 27.000, 27.000, 27.000, 26.300, 26.600, 27.000, 27.700, 28.400, 26.600, 26.600, 26.600, 27.000, 27.300, 27.000, 27.000, 27.700, 27.300, 27.000, 27.300, 27.000, 27.700, 26.600, 27.000, 27.000, 27.300, 27.000, 27.300, 26.600, 26.600, 23.023, 37.000, 24.294, 0.078, 0.078, 22.789, 37.000, 37.000, 25.627, 24.575, 25.418, 25.146, 25.220, 24.508, 23.929, 25.030, 23.923, 25.221, 25.128, 27.000, 27.000, -273.000, -273.000, 24.976, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.555, 0, 0, 100, 4.435, 0.142, 22.9
10:40:14.134689,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 27.000, 26.600, 27.000, 26.600, 26.300, 26.300, 26.600, 27.000, 27.700, 26.300, 26.600, 26.000, 27.000, 27.300, 27.000, 27.000, 27.000, 26.600, 27.000, 27.300, 26.600, 27.300, 26.000, 26.600, 26.600, 27.300, 27.000, 27.000, 26.300, 26.600, 22.990, 37.000, 24.361, 0.156, 0.156, 22.722, 37.000, 37.000, 25.610, 24.586, 25.418, 25.152, 25.214, 24.518, 23.923, 25.025, 23.923, 25.204, 25.105, 27.000, 27.000, -273.000, -273.000, 24.936, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.317, 0, 0, 100, 4.436, 0.131, 22.9
10:40:19.141703,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 26.600, 27.000, 27.000, 26.600, 26.600, 26.600, 27.300, 27.700, 28.000, 26.300, 27.000, 26.300, 26.600, 27.300, 27.000, 26.600, 27.000, 27.000, 27.300, 27.300, 26.600, 27.300, 26.000, 27.000, 27.000, 27.000, 26.600, 27.000, 26.600, 26.600, 22.957, 37.000, 24.261, 0.156, 0.156, 22.722, 37.000, 37.000, 25.579, 24.575, 25.382, 25.141, 25.214, 24.518, 23.929, 25.025, 23.934, 25.204, 25.105, 27.000, 27.000, -273.000, -273.000, 24.908, 4.384, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.054, 0, 0, 100, 4.435, 0.146, 22.9
