timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], socd[59], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], usb[87], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
12:24:59.060088,  15.700, 15.700, 16.000, 16.000, 16.000, 15.700, 15.300, 16.000, 16.000, 16.700, 17.700, 15.700, 15.700, 15.300, 15.300, 16.000, 15.700, 16.000, 15.700, 16.000, 16.000, 16.400, 15.300, 16.400, 15.300, 15.700, 15.700, 15.300, 15.300, 15.700, 15.300, 15.700, 10.903, 37.000, 12.567, 0.078, 0.078, 0.001, 10.403, 37.000, 37.000, 12.726, 11.438, 12.330, 12.024, 12.115, 11.360, 10.814, 12.089, 10.764, 12.874, 12.801, 27.000, 27.000, 12.330, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.259, 0, 0, 99, 4.386, 0.139, 9.8
12:25:03.997335,  15.300, 15.300, 15.700, 15.000, 15.300, 15.300, 15.000, 15.000, 15.300, 16.700, 17.100, 15.000, 15.700, 14.700, 15.300, 16.000, 15.300, 15.000, 15.300, 15.000, 15.300, 16.000, 15.300, 16.000, 14.700, 15.300, 15.000, 15.700, 15.300, 15.700, 15.000, 15.300, 10.703, 37.000, 12.600, 0.078, 0.078, 0.001, 10.270, 37.000, 37.000, 12.601, 11.444, 12.335, 12.051, 12.137, 11.360, 10.792, 12.089, 10.748, 12.910, 12.822, 27.000, 27.000, 12.383, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.601, 0, 0, 99, 4.386, 0.132, 9.8
12:25:09.035214,  15.000, 15.000, 15.300, 15.300, 15.000, 15.300, 14.700, 15.300, 15.300, 16.400, 16.400, 14.700, 15.300, 14.700, 15.000, 16.000, 15.300, 15.000, 15.000, 15.300, 15.000, 15.700, 15.000, 15.700, 14.700, 15.000, 15.300, 15.700, 15.000, 15.300, 15.000, 15.300, 10.736, 37.000, 12.600, 0.156, 0.156, 0.001, 10.270, 37.000, 37.000, 12.507, 11.444, 12.291, 12.040, 12.126, 11.354, 10.792, 12.089, 10.753, 12.910, 12.837, 27.000, 27.000, 12.346, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.375, 0, 0, 99, 4.388, 0.123, 9.9
12:25:14.026915,  15.300, 15.300, 15.000, 15.000, 15.000, 15.000, 14.700, 14.700, 15.700, 16.400, 17.100, 14.700, 15.000, 14.700, 15.300, 15.700, 15.000, 14.700, 15.300, 15.000, 15.300, 16.000, 15.300, 15.300, 14.000, 15.000, 15.000, 15.700, 15.000, 15.000, 14.700, 14.700, 10.537, 37.000, 12.401, 0.156, 0.156, 0.001, 10.204, 37.000, 37.000, 12.458, 11.444, 12.248, 12.019, 12.105, 11.348, 10.797, 12.078, 10.764, 12.915, 12.837, 27.000, 27.000, 12.287, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.358, 0, 0, 99, 4.384, 0.127, 9.9
12:25:18.984486,  15.000, 15.300, 15.700, 14.700, 15.000, 15.300, 15.000, 15.000, 15.000, 16.700, 17.100, 14.700, 15.000, 14.700, 15.300, 15.700, 15.300, 14.700, 15.700, 15.300, 15.300, 15.300, 15.300, 15.700, 14.300, 15.000, 15.000, 15.300, 15.000, 15.300, 15.000, 15.000, 10.603, 37.000, 12.467, 0.078, 0.078, 0.001, 10.370, 37.000, 37.000, 12.435, 11.444, 12.222, 12.014, 12.089, 11.343, 10.786, 12.046, 10.764, 12.915, 12.827, 27.000, 27.000, 12.287, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.299, 0, 0, 99, 4.388, 0.13, 9.9
12:25:24.028207,  15.000, 15.300, 15.000, 14.700, 15.300, 15.000, 14.700, 15.000, 15.300, 16.400, 17.100, 14.700, 15.300, 14.700, 15.000, 15.700, 15.300, 15.000, 15.300, 15.000, 15.300, 15.700, 15.300, 15.300, 14.300, 15.300, 15.000, 15.300, 15.000, 15.300, 15.000, 15.000, 10.570, 37.000, 12.367, 0.156, 0.156, 0.001, 10.237, 37.000, 37.000, 12.402, 11.449, 12.201, 12.003, 12.078, 11.343, 10.786, 12.051, 10.775, 12.889, 12.811, 27.000, 27.000, 12.254, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.148, 0, 0, 99, 4.387, 0.134, 10.0
12:25:29.015742,  15.000, 15.000, 15.300, 15.000, 15.300, 15.300, 14.700, 15.300, 15.300, 16.400, 16.700, 14.700, 15.300, 14.700, 15.000, 16.000, 15.300, 15.000, 15.700, 15.300, 15.700, 16.000, 15.300, 15.300, 14.300, 15.000, 15.000, 15.700, 15.000, 15.300, 15.000, 15.000, 10.537, 37.000, 12.467, 0.156, 0.156, 0.001, 10.204, 37.000, 37.000, 12.397, 11.444, 12.190, 11.992, 12.073, 11.337, 10.792, 12.035, 10.775, 12.863, 12.770, 27.000, 27.000, 12.211, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.21, 0, 0, 99, 4.387, 0.12, 10.0
12:25:34.007821,  15.000, 15.000, 15.700, 15.000, 15.000, 15.000, 14.700, 15.300, 15.700, 16.400, 16.700, 14.700, 15.000, 14.700, 15.000, 15.300, 15.300, 15.000, 15.300, 15.000, 15.300, 15.300, 15.300, 15.300, 14.300, 15.000, 15.000, 15.300, 15.000, 15.300, 15.000, 15.300, 10.503, 37.000, 12.434, 0.078, 0.078, 0.001, 10.137, 37.000, 37.000, 12.402, 11.438, 12.179, 11.987, 12.056, 11.331, 10.786, 12.030, 10.742, 12.863, 12.770, 27.000, 27.000, 12.200, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.394, 0, 0, 99, 4.386, 0.132, 9.9
12:25:39.012338,  15.000, 14.700, 15.300, 15.000, 15.300, 15.000, 14.700, 15.300, 15.300, 16.400, 16.700, 14.300, 15.000, 14.300, 15.000, 15.700, 15.000, 14.700, 15.300, 15.300, 15.700, 15.300, 15.000, 15.700, 14.300, 15.000, 15.000, 15.300, 14.700, 15.000, 14.700, 14.700, 10.537, 37.000, 12.301, 0.078, 0.078, 0.001, 10.237, 37.000, 37.000, 12.374, 11.427, 12.169, 11.970, 12.046, 11.337, 10.786, 12.014, 10.731, 12.848, 12.770, 27.000, 27.000, 12.200, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.148, 0, 0, 99, 4.385, 0.145, 9.8
12:25:44.013842,  15.000, 15.000, 15.000, 15.000, 15.300, 15.300, 15.000, 15.000, 15.300, 16.000, 16.700, 14.700, 15.000, 14.700, 15.000, 15.700, 15.000, 15.000, 15.300, 15.000, 15.000, 15.700, 15.000, 15.300, 14.300, 15.000, 15.000, 15.300, 15.000, 15.300, 15.000, 15.300, 10.470, 37.000, 12.334, 0.078, 0.078, 0.001, 10.170, 37.000, 37.000, 12.363, 11.416, 12.153, 11.960, 12.035, 11.331, 10.775, 12.008, 10.726, 12.843, 12.759, 27.000, 27.000, 12.173, 4.384, 10.000, 10.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.038, 0, 0, 99, 4.387, 0.128, 9.8
