timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], socd[59], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
13:47:12.857474,  6.800, 6.800, 6.800, 6.800, 7.100, 7.100, 6.800, 7.100, 7.100, 8.500, 8.800, 6.500, 7.100, 6.100, 6.500, 7.500, 6.800, 6.500, 6.800, 6.800, 7.100, 7.100, 6.500, 7.100, 6.100, 6.800, 6.500, 6.800, 6.500, 6.500, 6.500, 6.500, 1.548, 37.000, 3.879, 0.078, 0.078, 0.001, 0.883, 37.000, 37.000, 2.808, 1.355, 2.386, 2.095, 2.219, 1.368, 0.591, 2.444, 0.597, 3.655, 3.582, 27.000, 27.000, 2.750, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.518, 0, 1, 99, 4.428, 0.0, -0.5
13:47:17.899331,  6.500, 7.100, 7.100, 6.800, 7.100, 6.500, 6.500, 7.100, 7.500, 8.500, 8.500, 6.100, 6.800, 6.500, 6.500, 7.100, 6.500, 6.800, 7.100, 6.800, 6.800, 6.800, 6.800, 7.100, 5.800, 6.800, 6.500, 6.800, 6.500, 6.800, 6.100, 6.500, 1.649, 37.000, 3.812, 0.078, 0.078, 0.001, 0.816, 37.000, 37.000, 2.802, 1.355, 2.380, 2.088, 2.212, 1.355, 0.597, 2.425, 0.617, 3.644, 3.576, 27.000, 27.000, 2.725, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.572, 0, 1, 99, 4.427, 0.0, -0.4
13:47:22.883502,  6.500, 6.500, 6.800, 6.800, 6.800, 6.800, 6.100, 6.100, 7.100, 8.200, 8.800, 6.500, 6.800, 6.100, 6.500, 7.100, 6.500, 6.100, 7.100, 7.100, 6.800, 7.100, 6.800, 6.800, 5.800, 6.500, 6.500, 6.800, 6.500, 6.500, 6.100, 6.500, 1.482, 37.000, 3.746, 0.078, 0.078, 0.001, 0.750, 37.000, 37.000, 2.771, 1.355, 2.361, 2.075, 2.199, 1.328, 0.577, 2.412, 0.617, 3.644, 3.564, 27.000, 27.000, 2.713, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.025, 0, 1, 99, 4.428, 0.0, -0.3
13:47:27.814751,  6.500, 6.800, 7.100, 6.800, 7.100, 6.800, 6.100, 6.800, 7.500, 7.800, 8.500, 6.500, 6.800, 6.100, 6.500, 7.100, 6.800, 6.100, 6.800, 6.800, 7.100, 6.800, 6.500, 6.800, 5.400, 6.500, 6.500, 6.500, 6.500, 6.800, 6.100, 6.800, 1.516, 37.000, 3.879, 0.078, 0.078, 0.001, 0.950, 37.000, 37.000, 2.802, 1.361, 2.374, 2.069, 2.199, 1.322, 0.591, 2.406, 0.610, 3.644, 3.547, 27.000, 27.000, 2.792, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.707, 0, 1, 99, 4.428, 0.0, -0.3
13:47:32.898889,  6.500, 6.500, 6.800, 6.800, 7.100, 6.500, 6.500, 6.800, 6.800, 8.200, 8.800, 6.500, 6.500, 6.100, 6.500, 6.800, 6.500, 6.100, 6.500, 6.500, 7.100, 7.100, 6.500, 7.100, 6.100, 6.500, 6.100, 6.800, 6.500, 6.500, 6.100, 6.500, 1.482, 37.000, 3.846, 0.078, 0.078, 0.001, 0.816, 37.000, 37.000, 2.752, 1.348, 2.341, 2.056, 2.180, 1.309, 0.591, 2.380, 0.577, 3.621, 3.542, 27.000, 27.000, 2.689, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.037, 0, 1, 99, 4.427, 0.0, -0.4
13:47:37.866345,  6.100, 6.800, 7.100, 6.800, 6.800, 6.800, 6.100, 6.500, 7.100, 8.200, 8.500, 6.100, 6.500, 6.100, 6.500, 6.800, 6.500, 6.100, 6.800, 7.100, 6.800, 7.100, 6.500, 6.800, 5.400, 6.500, 6.500, 6.800, 6.500, 6.800, 6.500, 6.500, 1.516, 37.000, 3.812, 0.078, 0.078, 0.001, 0.883, 37.000, 37.000, 2.715, 1.348, 2.309, 2.056, 2.180, 1.289, 0.577, 2.406, 0.577, 3.610, 3.530, 27.000, 27.000, 2.646, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.343, 0, 1, 99, 4.428, 0.0, -0.5
13:47:42.854762,  6.500, 6.100, 6.500, 6.500, 6.800, 6.500, 6.100, 6.800, 7.100, 8.200, 8.500, 6.500, 6.500, 6.100, 6.500, 7.500, 6.500, 6.100, 6.800, 6.800, 6.800, 7.100, 6.500, 6.800, 5.800, 6.500, 6.500, 6.800, 6.100, 6.800, 6.100, 6.500, 1.416, 37.000, 3.746, 0.078, 0.078, 0.001, 0.683, 37.000, 37.000, 2.671, 1.342, 2.271, 2.030, 2.141, 1.276, 0.577, 2.367, 0.558, 3.593, 3.507, 27.000, 27.000, 2.615, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.5, 0, 1, 99, 4.428, 0.0, -0.5
13:47:47.894862,  6.800, 6.500, 6.800, 6.800, 6.800, 6.500, 6.100, 6.800, 6.800, 7.800, 8.200, 6.100, 6.800, 6.100, 6.800, 7.100, 6.500, 6.500, 6.800, 6.500, 6.800, 7.100, 6.800, 6.800, 6.100, 6.500, 6.100, 6.800, 6.500, 6.500, 6.100, 6.500, 1.482, 37.000, 3.713, 0.078, 0.078, 0.001, 0.850, 37.000, 37.000, 2.665, 1.335, 2.258, 2.012, 2.141, 1.263, 0.564, 2.348, 0.558, 3.559, 3.490, 27.000, 27.000, 2.596, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.373, 0, 1, 99, 4.428, 0.0, -0.4
13:47:52.882058,  6.100, 6.500, 7.100, 6.800, 6.800, 6.500, 6.100, 6.800, 6.800, 7.500, 8.800, 6.100, 6.500, 6.100, 6.500, 6.800, 6.500, 6.100, 6.800, 6.800, 6.800, 6.800, 6.500, 7.100, 5.800, 6.100, 6.100, 6.800, 6.100, 6.800, 6.100, 6.100, 1.516, 37.000, 3.812, 0.078, 0.078, 0.001, 0.750, 37.000, 37.000, 2.646, 1.322, 2.232, 1.999, 2.108, 1.256, 0.558, 2.322, 0.564, 3.559, 3.490, 27.000, 27.000, 2.565, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.717, 0, 1, 99, 4.428, 0.0, -0.3
13:47:57.922647,  6.500, 6.500, 6.500, 6.500, 6.500, 6.800, 6.100, 6.100, 7.100, 8.200, 8.500, 6.100, 6.500, 6.100, 6.500, 7.100, 6.500, 6.500, 6.500, 6.500, 7.100, 7.100, 6.500, 6.800, 5.400, 6.500, 6.100, 6.800, 6.500, 6.500, 5.800, 6.100, 1.349, 37.000, 3.713, 0.078, 0.078, 0.001, 0.716, 37.000, 37.000, 2.627, 1.322, 2.219, 1.993, 2.108, 1.249, 0.564, 2.329, 0.591, 3.547, 3.467, 27.000, 27.000, 2.559, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.645, 0, 1, 99, 4.428, 0.0, -0.2
